title,artist,top genre,bpm,nrgy,dnce,dB,live,val,acous,spch
Passionfruit,Drake,canadian hip hop,111.98,0.463,0.809,-11.377,0.109,0.364,0.256,0.0396
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,conscious hip hop,110.684,0.535,0.658,-8.983,0.2,0.419,0.0265,0.0573
Praying,Kesha,dance pop,73.433,0.39,0.576,-7.202,0.111,0.319,0.491,0.0297
goosebumps,Travis Scott,rap,130.049,0.728,0.841,-3.37,0.149,0.43,0.0847,0.0484
Cold (feat. Future),Maroon 5,pop,99.836,0.717,0.693,-6.346,0.0464,0.412,0.14,0.107
Broccoli,DRAM,pop rap,145.99,0.525,0.886,-7.39,0.057,0.708,0.236,0.132
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,104.066,0.795,0.736,-3.299,0.254,0.511,0.498,0.0545
What Ifs (feat. Lauren Alaina),Kane Brown,contemporary country,125.976,0.799,0.612,-4.603,0.172,0.687,0.00898,0.0275
Chained To The Rhythm,Katy Perry,dance pop,189.89,0.8,0.446,-5.404,0.199,0.474,0.0814,0.174
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,101.018,0.745,0.893,-3.105,0.0943,0.872,0.0642,0.0571
All Time Low,Jon Bellion,pop rap,90.246,0.567,0.617,-4.188,0.0933,0.505,0.0584,0.0828
Hurricane,Luke Combs,contemporary country,75.975,0.813,0.464,-6.185,0.254,0.516,0.0153,0.0416
Too Good At Goodbyes,Sam Smith,pop,91.873,0.372,0.681,-8.237,0.169,0.476,0.64,0.0432
Young Dumb & Broke,Khalid,alternative r&b,136.949,0.539,0.798,-6.351,0.165,0.394,0.199,0.0421
Magnolia,Playboi Carti,atl hip hop,162.99,0.581,0.791,-7.323,0.35,0.438,0.0113,0.286
Love Galore (feat. Travis Scott),SZA,pop,135.002,0.594,0.795,-6.2,0.162,0.409,0.111,0.0747
How Long,Charlie Puth,dance pop,109.974,0.561,0.845,-5.253,0.0383,0.811,0.211,0.0778
Lights Down Low,MAX,dance pop,81.059,0.571,0.622,-5.338,0.122,0.635,0.0458,0.0493
One Kiss (with Dua Lipa),Calvin Harris,dance pop,123.994,0.862,0.791,-3.24,0.0814,0.592,0.037,0.11
Natural,Imagine Dragons,modern rock,100,0.611,0.704,-6.112,0.0812,0.22,0.217,0.0409
You Make It Easy,Jason Aldean,contemporary country,132.025,0.574,0.375,-5.305,0.11,0.406,0.143,0.0315
Shape of You,Ed Sheeran,pop,95.977,0.652,0.825,-3.183,0.0931,0.931,0.581,0.0802
I Get the Bag (feat. Migos),Gucci Mane,atl hip hop,139.948,0.633,0.89,-5.475,0.0993,0.425,0.0232,0.168
No Brainer,DJ Khaled,dance pop,135.702,0.76,0.552,-4.706,0.0865,0.639,0.0733,0.342
Plain Jane,A$AP Ferg,hip hop,170.142,0.844,0.797,-5.482,0.087,0.52,0.0651,0.275
Sky Walker (feat. Travis Scott),Miguel,dance pop,145.965,0.506,0.674,-10.532,0.0866,0.183,0.173,0.0434
Marry Me,Thomas Rhett,contemporary country,85.028,0.412,0.333,-8.633,0.113,0.474,0.0977,0.029
Eastside (with Halsey & Khalid),benny blanco,electropop,89.391,0.68,0.56,-7.648,0.116,0.319,0.555,0.321
Call Out My Name,The Weeknd,canadian contemporary r&b,134.17,0.593,0.461,-4.954,0.307,0.175,0.17,0.0356
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,137.133,0.705,0.645,-5.008,0.128,0.376,0.000813,0.299
Happier,Marshmello,brostep,100.015,0.792,0.687,-2.749,0.167,0.671,0.191,0.0452
Con Calma,Daddy Yankee,latin,93.989,0.86,0.737,-2.652,0.0574,0.656,0.11,0.0593
Murder On My Mind,YNW Melly,melodic rap,115.007,0.73,0.759,-7.985,0.11,0.74,0.145,0.0516
when the party's over,Billie Eilish,electropop,82.642,0.111,0.367,-14.084,0.0897,0.198,0.978,0.0972
Act Up,City Girls,pop,97.075,0.638,0.938,-4.713,0.111,0.313,0.0167,0.189
I Like It,Cardi B,pop,136.048,0.726,0.816,-3.998,0.372,0.65,0.099,0.129
Trampoline,SHAED,electropop,126.754,0.412,0.689,-7.523,0.0659,0.537,0.488,0.0301
Leave Me Alone,Flipp Dinero,hip hop,150.024,0.743,0.792,-2.806,0.183,0.742,0.107,0.0851
breathin,Ariana Grande,dance pop,100.049,0.656,0.568,-5.413,0.213,0.364,0.0211,0.0433
bury a friend,Billie Eilish,electropop,120.046,0.389,0.905,-14.505,0.106,0.196,0.74,0.332
Close Friends (Lil Baby & Gunna),Lil Baby,atl hip hop,158.896,0.578,0.676,-4.669,0.0796,0.698,0.0509,0.375
Baby Shark,Pinkfong,cartoon,115.056,0.886,0.829,-1.746,0.0559,0.777,0.259,0.112
My Type,Saweetie,cali rap,105.038,0.811,0.899,-6.294,0.0672,0.587,0.000677,0.258
Worth It,YK Osiris,deep pop r&b,124.008,0.535,0.749,-4.054,0.0942,0.459,0.517,0.0638
Only Human,Jonas Brothers,boy band,94.01,0.496,0.795,-5.883,0.0645,0.874,0.108,0.0722
Knockin' Boots,Luke Bryan,contemporary country,131.983,0.682,0.739,-3.728,0.328,0.634,0.129,0.205
Trip,Ella Mai,deep pop r&b,79.882,0.61,0.477,-5.628,0.107,0.358,0.225,0.144
